hour,day,month,temp,humidity,wind,pressure,precip
0,18,1,19,80,17,29.18,0.0
0,15,1,32,93,7,29.53,0.0
0,17,1,32,100,8,28.83,0.0
0,16,1,32,87,14,29.39,0.0
1,18,1,19,80,15,29.19,0.0
2,18,1,18,86,10,29.2,0.0
3,18,1,18,86,10,29.21,0.0
4,18,1,16,86,9,29.21,0.0
5,18,1,14,86,8,29.22,0.0
6,18,1,14,93,10,29.23,0.0
7,18,1,14,86,9,29.26,0.0
8,18,1,14,86,9,29.27,0.0
9,18,1,14,79,12,29.29,0.0
10,18,1,14,79,15,29.31,0.0
11,18,1,16,73,15,29.32,0.0
12,18,1,16,73,12,29.32,0.0
13,18,1,18,68,12,29.32,0.0
14,18,1,16,73,12,29.34,0.0
15,18,1,18,68,13,29.37,0.0
16,18,1,16,68,8,29.4,0.0
17,18,1,10,79,9,29.42,0.0
18,18,1,9,79,7,29.45,0.0
19,18,1,10,79,7,29.47,0.0
20,18,1,9,85,5,29.48,0.0
21,18,1,5,85,3,29.49,0.0
22,18,1,7,85,3,29.51,0.0
23,18,1,9,85,6,29.52,0.0
1,15,1,30,100,7,29.54,0.0
2,15,1,30,100,7,29.55,0.0
3,15,1,30,100,7,29.57,0.0
4,15,1,28,100,8,29.56,0.0
5,15,1,30,93,14,29.56,0.0
6,15,1,28,100,13,29.57,0.0
7,15,1,28,100,12,29.58,0.0
8,15,1,28,100,13,29.58,0.0
9,15,1,28,100,15,29.59,0.0
10,15,1,30,93,16,29.58,0.0
11,15,1,30,93,14,29.58,0.0
12,15,1,32,87,14,29.54,0.0
13,15,1,34,81,14,29.52,0.0
14,15,1,34,81,13,29.5,0.0
15,15,1,34,81,14,29.51,0.0
16,15,1,32,80,16,29.48,0.0
17,15,1,32,87,16,29.49,0.0
18,15,1,32,80,16,29.5,0.0
19,15,1,32,80,16,29.49,0.0
20,15,1,32,80,15,29.47,0.0
21,15,1,32,87,14,29.46,0.0
22,15,1,32,87,15,29.44,0.0
23,15,1,32,87,12,29.41,0.0
1,17,1,32,100,8,28.82,0.0
2,17,1,32,100,10,28.83,0.0
3,17,1,32,100,12,28.84,0.0
4,17,1,32,93,13,28.85,0.0
5,17,1,32,93,14,28.85,0.0
6,17,1,32,93,13,28.87,0.0
7,17,1,30,100,16,28.89,0.0
8,17,1,30,93,16,28.92,0.0
9,17,1,30,86,14,28.94,0.0
10,17,1,30,86,15,28.97,0.0
11,17,1,28,86,16,28.98,0.0
12,17,1,27,86,20,29.0,0.0
13,17,1,27,80,21,29.01,0.0
14,17,1,27,80,14,29.03,0.0
15,17,1,27,74,16,29.06,0.0
16,17,1,25,80,15,29.1,0.0
17,17,1,25,80,18,29.12,0.0
18,17,1,25,80,17,29.14,0.0
19,17,1,23,80,13,29.16,0.0
20,17,1,23,80,10,29.18,0.0
21,17,1,23,80,12,29.18,0.0
22,17,1,23,80,21,29.19,0.0
23,17,1,21,80,17,29.19,0.0
1,16,1,30,100,13,29.36,0.0
2,16,1,30,100,13,29.33,0.0
3,16,1,32,93,12,29.32,0.0
4,16,1,32,93,13,29.29,0.0
5,16,1,30,100,13,29.25,0.0
6,16,1,30,100,12,29.23,0.0
7,16,1,32,93,12,29.22,0.0
8,16,1,32,93,13,29.19,0.0
9,16,1,32,93,14,29.16,0.0
10,16,1,32,93,13,29.13,0.0
11,16,1,32,93,13,29.09,0.0
12,16,1,32,93,13,29.03,0.0
13,16,1,32,100,12,28.98,0.0
14,16,1,32,100,9,28.96,0.0
15,16,1,32,100,3,28.95,0.0
16,16,1,32,100,3,28.95,0.0
17,16,1,32,93,0,28.94,0.0
18,16,1,32,93,3,28.92,0.0
19,16,1,32,93,3,28.91,0.0
20,16,1,32,93,2,28.89,0.0
21,16,1,32,100,5,28.87,0.0
22,16,1,32,100,5,28.85,0.0
23,16,1,32,100,7,28.84,0.0
0,21,1,3,78,6,29.51,0.0
0,5,1,28,93,7,29.59,0.0
0,19,1,9,85,2,29.52,0.0
0,20,1,14,86,3,29.47,0.0
1,21,1,7,72,9,29.45,0.0
2,21,1,9,73,9,29.42,0.0
3,21,1,9,79,10,29.38,0.0
4,21,1,7,85,12,29.32,0.0
5,21,1,9,85,10,29.27,0.0
6,21,1,10,85,9,29.23,0.0
7,21,1,10,85,9,29.19,0.0
8,21,1,12,85,10,29.17,0.0
9,21,1,12,85,12,29.15,0.0
10,21,1,14,86,9,29.13,0.0
11,21,1,14,86,9,29.11,0.0
12,21,1,14,93,8,29.07,0.0
13,21,1,16,93,10,29.03,0.0
14,21,1,19,86,8,29.0,0.0
15,21,1,19,86,12,28.99,0.0
16,21,1,19,93,9,28.98,0.0
17,21,1,19,86,9,28.98,0.0
18,21,1,18,93,7,28.98,0.0
19,21,1,18,93,5,28.98,0.0
20,21,1,18,93,7,28.98,0.0
21,21,1,18,93,5,28.98,0.0
22,21,1,25,93,12,29.0,0.0
23,21,1,21,86,0,29.01,0.0
1,5,1,28,93,7,29.58,0.0
2,5,1,28,93,8,29.58,0.0
3,5,1,28,93,8,29.58,0.0
4,5,1,28,93,8,29.58,0.0
5,5,1,27,100,9,29.58,0.0
6,5,1,27,100,7,29.58,0.0
7,5,1,27,93,9,29.6,0.0
8,5,1,27,93,6,29.61,0.0
9,5,1,27,93,7,29.62,0.0
10,5,1,27,93,7,29.63,0.0
11,5,1,27,93,7,29.61,0.0
12,5,1,27,86,7,29.6,0.0
13,5,1,28,80,7,29.58,0.0
14,5,1,28,80,5,29.58,0.0
15,5,1,28,86,3,29.6,0.0
16,5,1,28,86,3,29.62,0.0
17,5,1,28,86,5,29.64,0.0
18,5,1,28,86,2,29.65,0.0
19,5,1,27,93,2,29.66,0.0
20,5,1,27,86,2,29.66,0.0
21,5,1,27,86,3,29.66,0.0
22,5,1,27,86,3,29.66,0.0
23,5,1,27,86,3,29.66,0.0
1,19,1,5,85,2,29.53,0.0
2,19,1,7,92,5,29.55,0.0
3,19,1,7,92,2,29.55,0.0
4,19,1,5,92,2,29.55,0.0
5,19,1,5,85,0,29.55,0.0
6,19,1,3,92,0,29.55,0.0
7,19,1,5,85,5,29.58,0.0
8,19,1,5,85,3,29.59,0.0
9,19,1,9,85,0,29.58,0.0
10,19,1,10,85,0,29.58,0.0
