minute,hour,day,month,temp,humidity,wind,pressure,precip,pm2.5,co,no2,o3,so2
19,14,1,1,29.8,80,2.0,30.39,0.0,-999,-999,-999,-999,-999
0,14,4,1,-999,-999,-999,-999,-999,14,.22,10.2,21,.1
19,15,1,1,30.3,79,2.6,30.34,0.0,-999,-999,-999,-999,-999
0,15,4,1,-999,-999,-999,-999,-999,14,.21,10.6,20,.1
19,16,1,1,30.8,79,1.9,30.31,0.0,11,-999,-999,-999,-999,-999
0,16,4,1,-999,-999,-999,-999,-999,.23,12.4,18,.1
19,17,1,1,30.2,79,2.6,30.3,0.0,-999,-999,-999,-999,-999
0,17,4,1,-999,-999,-999,-999,-999,15,.27,12.9,18,.1
19,18,1,1,29.7,80,2.7,30.28,0.0,-999,-999,-999,-999,-999
0,18,4,1,-999,-999,-999,-999,-999,15,.25,8.4,22,.1
19,19,1,1,28.9,79,4.6,30.22,0.0,-999,-999,-999,-999,-999
0,19,4,1,-999,-999,-999,-999,-999,14,.27,10,20,.1
19,20,1,1,28.5,79,5.0,30.18,0.0,-999,-999,-999,-999,-999
0,20,4,1,-999,-999,-999,-999,-999,15,.28,12.3,17,0
19,21,1,1,28.3,78,4.9,30.14,0.0,-999,-999,-999,-999,-999
0,21,4,1,-999,-999,-999,-999,-999,16,.3,13.5,15,.1
19,22,1,1,28.3,78,5.0,30.11,0.0,-999,-999,-999,-999,-999
0,22,4,1,-999,-999,-999,-999,-999,17,.28,9.9,18,.1
19,23,1,1,26.0,93,6.2,30.08,0.0,-999,-999,-999,-999,-999
0,23,4,1,-999,-999,-999,-999,-999,18,.26,7.3,20,.1
24,0,1,1,28.0,74,1.0,30.45,0.0,-999,-999,-999,-999,-999
0,0,5,1,-999,-999,-999,-999,-999,21,.25,9.3,18,.1
24,1,1,1,26.3,78,1.7,30.45,0.0,-999,-999,-999,-999,-999
0,1,5,1,-999,-999,-999,-999,-999,23,.23,6.5,21,.1
24,2,1,1,26.7,79,0.0,30.47,0.0,-999,-999,-999,-999,-999
0,2,5,1,-999,-999,-999,-999,-999,24,.25,8.7,18,.1
24,3,1,1,27.0,80,2.0,30.47,0.0,-999,-999,-999,-999,-999
0,3,5,1,-999,-999,-999,-999,-999,24,.25,11.9,14,.1
24,4,1,1,27.4,77,0.1,30.46,0.0,-999,-999,-999,-999,-999
0,4,5,1,-999,-999,-999,-999,-999,23,.25,12.6,14,.2
24,5,1,1,27.7,75,2.6,30.47,0.0,-999,-999,-999,-999,-999
0,5,5,1,-999,-999,-999,-999,-999,19,.26,9.4,19,.5
