date,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
2021-02-16,6.5,5.4,5.2,4.1,3.7,4.6,6.4,7.6,6.2,5.5,5.5,3.8,3.4,4.1,4.1,5.1,4,5.4,5,5.1,4.3,3.5,2.3,4.4
2021-02-17,2.9,4.7,5.1,5.7,5.7,7.6,8.5,11.3,10.8,9.5,7.8,5.8,7.3,5.3,5.3,5.2,7.7,14.5,25,30.4,39.5,40.3,40.1,27.1
2021-02-18,28.3,35.1,35.8,35,33.9,33.8,33.8,28.7,25.9,24.2,29,19.8,12.2,11.3,9.9,9.1,10.3,15,19.8,40.1,35,20,8.2,8.6
2021-02-19,15.9,13.8,17.5,10.9,10.9,20.1,20.4,17.9,15.5,11.9,9.1,5.8,7.4,7.9,9.6,10.3,9.5,11.5,11,13.4,13.3,7.7,9.2,12.6
2021-02-20,13.2,10.4,10.3,8.5,7.1,7.9,9.2,10.1,10,7.4,5.9,2.6,2.1,2.3,2.4,2.3,2.9,4,5.5,3.7,5.4,9.4,8.9,9
2021-02-21,7.4,8.2,9.6,14.4,14,14.6,13.7,12.9,11.4,15.8,16.3,7.6,5.7,3.7,3.8,5.4,6,11.4,15.7,11.9,15.4,13.5,22.6,19.7
2021-02-22,17.8,10.8,8.9,10.1,10,9.8,12.9,11.7,10.5,9.6,8.5,8.8,9,9.1,9.5,11.1,13.8,13.9,14.7,13.1,16.2,13.5,14.8,19
2021-02-23,22.8,8.4,6.8,12.9,13,11,13.2,16.5,12.3,10.8,12.4,13.3,13,10.5,13.4,16.7,13,13.2,11.3,9.5,10.6,9.6,9.9,7
2021-02-24,6.1,4.7,5.8,5.1,7,5.2,12.1,10.9,8.9,9.5,11.4,10.1,7.9,9.3,11.3,10.3,9.6,7.5,4.8,5,8.5,6.6,3.7,3
2021-02-25,3.9,2.6,3,6.1,6.5,5.2,7.7,11.2,4.7,2.6,3.2,2.6,2.3,2.4,2.7,3,3.1,5.7,9.9,11.8,13.8,13.3,8.2,6.6
2021-02-26,7.9,9.9,13.5,16.1,25.1,34.6,26.8,28.4,28.3,17.7,6.5,5,5,5.3,5.2,5.5,7.3,8.4,13.5,13.5,16.5,19.3,11.8,13.7
2021-02-27,18.5,11.6,10,7.7,10.3,12.9,9.3,9.8,12.9,13.1,13.9,13.3,12.4,17.7,17.1,18.5,6.3,5.8,8.3,12.4,12.5,8.9,10.5,10.5
2021-02-28,19.7,34.2,37.2,34.7,31.6,31.8,33.2,29,18.7,17,14.7,12.8,8.3,6.9,6.2,6.6,5.4,6.5,6.4,6.3,6,5.4,6.8,11.9
2021-03-01,11.2,5.5,9.2,10.4,8.5,8.3,6.8,8.3,7.7,5,3.1,3,1.7,1.8,1.8,1.9,2.5,2.3,1.8,1.6,1.4,1.5,1.5,1.8
2021-03-02,1.5,2,2.2,2.1,2.2,2.6,5.1,5,2.9,2.1,2.3,2.1,2.1,2.2,2.4,2.5,3.3,5.2,13.6,13.6,10.3,13.9,14.1,15
2021-03-03,17.4,22.1,25.2,34.5,27.1,29,21.9,27.2,20.9,22.4,13.7,8.1,5.8,7.2,6,6,6.6,7.5,9.4,10.6,10.3,8.8,4.7,3.9
2021-03-04,2.6,2.8,2.8,4,4.4,7.1,2.8,2.4,2.1,1.9,1.5,1.3,1.3,1.3,1.4,1.7,3.9,4.1,3.8,2.3,2,2,2.1,2.3
