hour,day,month,temp,humidity,wind,pressure,precip
17,13,1,32.0,93.0,10,29.36,0.0
18,13,1,32.0,93.0,10,29.35,0.0
19,13,1,32.0,93.0,8,29.35,0.0
20,13,1,32.0,93.0,8,29.34,0.0
21,13,1,32.0,100.0,8,29.34,0.0
22,13,1,32.0,100.0,8,29.33,0.0
23,13,1,32.0,100.0,5,29.33,0.0
0,14,1,32.0,100.0,8,29.32,0.0
1,14,1,32.0,100.0,7,29.32,0.0
2,14,1,32.0,100.0,7,29.33,0.0
3,14,1,32.0,93.0,6,29.33,0.0
4,14,1,32.0,93.0,5,29.33,0.0
5,14,1,32.0,93.0,2,29.33,0.0
6,14,1,30.0,100.0,0,29.35,0.0
7,14,1,32.0,93.0,3,29.36,0.0
8,14,1,32.0,93.0,0,29.38,0.0
9,14,1,30.0,100.0,0,29.39,0.0
10,14,1,32.0,93.0,2,29.41,0.0
11,14,1,32.0,100.0,5,29.4,0.0
12,14,1,32.0,100.0,6,29.39,0.0
13,14,1,32.0,100.0,6,29.39,0.0
14,14,1,32.0,100.0,6,29.39,0.0
15,14,1,32.0,100.0,3,29.4,0.0
16,14,1,32.0,93.0,6,29.43,0.0
17,14,1,32.0,93.0,6,29.44,0.0
18,14,1,32.0,93.0,5,29.45,0.0
19,14,1,32.0,93.0,7,29.48,0.0
20,14,1,32.0,93.0,5,29.5,0.0
21,14,1,32.0,93.0,5,29.51,0.0
22,14,1,32.0,93.0,7,29.52,0.0
23,14,1,32.0,93.0,8,29.52,0.0
0,15,1,32.0,93.0,7,29.53,0.0
1,15,1,30.0,100.0,7,29.54,0.0
2,15,1,30.0,100.0,7,29.55,0.0
3,15,1,30.0,100.0,7,29.57,0.0
4,15,1,28.0,100.0,8,29.56,0.0
5,15,1,30.0,93.0,14,29.56,0.0
6,15,1,28.0,100.0,13,29.57,0.0
7,15,1,28.0,100.0,12,29.58,0.0
8,15,1,28.0,100.0,13,29.58,0.0
9,15,1,28.0,100.0,15,29.59,0.0
10,15,1,30.0,93.0,16,29.58,0.0
11,15,1,30.0,93.0,14,29.58,0.0
12,15,1,32.0,87.0,14,29.54,0.0
13,15,1,34.0,81.0,14,29.52,0.0
14,15,1,34.0,81.0,13,29.5,0.0
15,15,1,34.0,81.0,14,29.51,0.0
16,15,1,32.0,80.0,16,29.48,0.0
17,15,1,32.0,87.0,16,29.49,0.0
18,15,1,32.0,80.0,16,29.5,0.0
19,15,1,32.0,80.0,16,29.49,0.0
20,15,1,32.0,80.0,15,29.47,0.0
21,15,1,32.0,87.0,14,29.46,0.0
22,15,1,32.0,87.0,15,29.44,0.0
23,15,1,32.0,87.0,12,29.41,0.0
0,16,1,32.0,87.0,14,29.39,0.0
1,16,1,30.0,100.0,13,29.36,0.0
2,16,1,30.0,100.0,13,29.33,0.0
3,16,1,32.0,93.0,12,29.32,0.0
4,16,1,32.0,93.0,13,29.29,0.0
5,16,1,30.0,100.0,13,29.25,0.0
6,16,1,30.0,100.0,12,29.23,0.0
7,16,1,32.0,93.0,12,29.22,0.0
8,16,1,32.0,93.0,13,29.19,0.0
9,16,1,32.0,93.0,14,29.16,0.0
10,16,1,32.0,93.0,13,29.13,0.0
11,16,1,32.0,93.0,13,29.09,0.0
12,16,1,32.0,93.0,13,29.03,0.0
13,16,1,32.0,100.0,12,28.98,0.0
14,16,1,32.0,100.0,9,28.96,0.0
15,16,1,32.0,100.0,3,28.95,0.0
16,16,1,32.0,100.0,3,28.95,0.0
17,16,1,32.0,93.0,0,28.94,0.0
18,16,1,32.0,93.0,3,28.92,0.0
19,16,1,32.0,93.0,3,28.91,0.0
20,16,1,32.0,93.0,2,28.89,0.0
21,16,1,32.0,100.0,5,28.87,0.0
22,16,1,32.0,100.0,5,28.85,0.0
23,16,1,32.0,100.0,7,28.84,0.0
0,17,1,32.0,100.0,8,28.83,0.0
1,17,1,32.0,100.0,8,28.82,0.0
2,17,1,32.0,100.0,10,28.83,0.0
3,17,1,32.0,100.0,12,28.84,0.0
4,17,1,32.0,93.0,13,28.85,0.0
5,17,1,32.0,93.0,14,28.85,0.0
6,17,1,32.0,93.0,13,28.87,0.0
7,17,1,30.0,100.0,16,28.89,0.0
8,17,1,30.0,93.0,16,28.92,0.0
9,17,1,30.0,86.0,14,28.94,0.0
10,17,1,30.0,86.0,15,28.97,0.0
11,17,1,28.0,86.0,16,28.98,0.0
12,17,1,27.0,86.0,20,29.0,0.0
13,17,1,27.0,80.0,21,29.01,0.0
14,17,1,27.0,80.0,14,29.03,0.0
15,17,1,27.0,74.0,16,29.06,0.0
16,17,1,25.0,80.0,15,29.1,0.0
17,17,1,25.0,80.0,18,29.12,0.0
18,17,1,25.0,80.0,17,29.14,0.0
19,17,1,23.0,80.0,13,29.16,0.0
20,17,1,23.0,80.0,10,29.18,0.0
21,17,1,23.0,80.0,12,29.18,0.0
22,17,1,23.0,80.0,21,29.19,0.0
